ระดับ,คณะ,สาขา,จำนวนปี,ช่วงเวลา,ประเภทหลักสูตร,แผนการเรียน
ประกาศนียบัตร,พยาบาลศาสตร์,หน่วยงานกลางคณะพยาบาลศาสตร์,1,สมทบ,หลักสูตรไทย,ปกติ
ประกาศนียบัตรวิชาชีพ,ศึกษาศาสตร์,สาขาวิชาชีพครู,2,สมทบ,หลักสูตรไทย,ปกติ
ปริญญาตรี,นิเทศศาสตร์,วิชาเอกภาพยนตร์และวิทยุ-โทรทัศน์ดิจิทัล,2,ปกติ,หลักสูตรไทย,ปกติ
ปริญญาตรี,นิเทศศาสตร์,สาขาวิชานิเทศศาสตร์ดิจิทัล,2,ปกติ,หลักสูตรไทย,ปกติ
ปริญญาตรี,นิเทศศาสตร์,สาขาวิชานิเทศศาสตร์ดิจิทัล,4,ปกติ,หลักสูตรไทย,ปกติ
ปริญญาตรี,บริหารธุรกิจ,สาขาวิชาการจัดการโลจิสติกส์และโซ่อุปทาน,2,ปกติ,หลักสูตรไทย,สหกิจ
ปริญญาตรี,บริหารธุรกิจ,สาขาวิชาการจัดการโลจิสติกส์และโซ่อุปทาน,3,ปกติ,หลักสูตรไทย,สหกิจ
ปริญญาตรี,บริหารธุรกิจ,สาขาวิชาการจัดการโลจิสติกส์และโซ่อุปทาน,4,ปกติ,หลักสูตรไทย,สหกิจ
ปริญญาตรี,บริหารธุรกิจ,สาขาวิชาการตลาดดิจิทัล,2,ปกติ,หลักสูตรไทย,ปกติ
ปริญญาตรี,บริหารธุรกิจ,สาขาวิชาการตลาดดิจิทัล,4,ปกติ,หลักสูตรไทย,ปกติ
ปริญญาตรี,บริหารธุรกิจ,สาขาวิชาการบัญชี,2,ปกติ,หลักสูตรไทย,ปกติ
ปริญญาตรี,บริหารธุรกิจ,สาขาวิชาการบัญชี,4,ปกติ,หลักสูตรไทย,ปกติ
ปริญญาตรี,บริหารธุรกิจ,สาขาวิชานวัตกรรมการจัดการ,2,ปกติ,หลักสูตรไทย,ปกติ
ปริญญาตรี,บริหารธุรกิจ,สาขาวิชานวัตกรรมการจัดการ,4,ปกติ,หลักสูตรไทย,ปกติ
ปริญญาตรี,พยาบาลศาสตร์,สาขาวิชาพยาบาลศาสตร์,4,ปกติ,หลักสูตรไทย,ปกติ
ปริญญาตรี,พยาบาลศาสตร์,สาขาวิชาสาธารณสุขศาสตร์,4,ปกติ,หลักสูตรไทย,ปกติ
ปริญญาตรี,รัฐศาสตร์,สาขาวิชานิติศาสตร์,4,ปกติ,หลักสูตรไทย,ปกติ
ปริญญาตรี,รัฐศาสตร์,สาขาวิชารัฐประศาสนศาสตร์,4,ปกติ,หลักสูตรไทย,ปกติ
ปริญญาตรี,วิทยาลัยนานาชาติ,สาขาวิชาการจัดการ (หลักสูตรนานาชาติ),2,ปกติ,หลักสูตรนานาชาติ,ปกติ
ปริญญาตรี,วิทยาลัยนานาชาติ,สาขาวิชาการจัดการ (หลักสูตรนานาชาติ),4,ปกติ,หลักสูตรนานาชาติ,ปกติ
