จังหวัดของโรงเรียน,ชื่อโรงเรียน
สมุทรปราการ,โรงเรียนกาญจนวิทยา
สมุทรปราการ,โรงเรียนเกวลินวิทยา
สมุทรปราการ,โรงเรียนจตุพรวิทยา
สมุทรปราการ,โรงเรียนฉัตรสุดา
สมุทรปราการ,โรงเรียนเฉลิมไฉไลวิทยา
สมุทรปราการ,โรงเรียนเฉลิมวิทยา
สมุทรปราการ,โรงเรียนชวลิตวิทยา
สมุทรปราการ,โรงเรียนซิกข์วิทยาลัย
สมุทรปราการ,โรงเรียนเซนต์โยเซฟบางนา
สมุทรปราการ,โรงเรียนเซนต์โยเซฟทิพวัล
สมุทรปราการ,โรงเรียนเซนต์ราฟาแอล
สมุทรปราการ,โรงเรียนณัฎฐเวศม์
สมุทรปราการ,โรงเรียนดรุณรัตน์
สมุทรปราการ,โรงเรียนดิษลี
สมุทรปราการ,โรงเรียนทรงวิทยาเทพารักษ์
สมุทรปราการ,โรงเรียนทรงวิทยา
สมุทรปราการ,โรงเรียนทองโรจน์วิทยา
สมุทรปราการ,โรงเรียนทอรัก
สมุทรปราการ,โรงเรียนเทพกรศึกษา
สมุทรปราการ,โรงเรียนนพคุณวิทยา
สมุทรปราการ,โรงเรียนนพคุณศึกษา
สมุทรปราการ,โรงเรียนบางพลีพัฒนศึกษาลัย
สมุทรปราการ,โรงเรียนบุรารักษ์
สมุทรปราการ,โรงเรียนประชานาถ
สมุทรปราการ,โรงเรียนประภามนตรี 2
สมุทรปราการ,โรงเรียนปราณีเนาวบุตร
สมุทรปราการ,โรงเรียนป้วยฮั้ว
สมุทรปราการ,โรงเรียนปัญจนะวิทย์
สมุทรปราการ,โรงเรียนไพรีขยาด
สมุทรปราการ,โรงเรียนมนตเสรี
สมุทรปราการ,โรงเรียนยินดีวิทย์
สมุทรปราการ,โรงเรียนเยาวนารีคริสเตียน
สมุทรปราการ,โรงเรียนล้วนพฤกษา
สมุทรปราการ,โรงเรียนศรีดรุณ
สมุทรปราการ,โรงเรียนศรีวิทยาปากน้ำ
สมุทรปราการ,โรงเรียนศิริวิทยา
สมุทรปราการ,โรงเรียนศิริศึกษา
สมุทรปราการ,โรงเรียนศึกษาสรรค์
สมุทรปราการ,โรงเรียนสันต์เสริมวิทย์
สมุทรปราการ,โรงเรียนสันติดรุณ
สมุทรปราการ,โรงเรียนสาธิตบางนา
สมุทรปราการ,โรงเรียนสามัคคีวิทยา
สมุทรปราการ,โรงเรียนสายอนุสรณ์
สมุทรปราการ,โรงเรียนสารสาสน์วิเทศศึกษา
สมุทรปราการ,โรงเรียนสารสาสน์สมุทรสาร
สมุทรปราการ,โรงเรียนสำราญวิทยา
สมุทรปราการ,โรงเรียนสิริวุฒิวิทยา
สมุทรปราการ,โรงเรียนสุขเจริญผล
สมุทรปราการ,โรงเรียนสุขเจริญผลแพรกษา
สมุทรปราการ,โรงเรียนสุดใจวิทยา
สมุทรปราการ,โรงเรียนสุมานัน
สมุทรปราการ,โรงเรียนเสงี่ยมพิทยานุกูล
สมุทรปราการ,โรงเรียนอนุสาสน์วิทยา
สมุทรปราการ,โรงเรียนอนุสาสน์วิทยาสมุทรปราการ
สมุทรปราการ,โรงเรียนอัสสัมชัญสมุทรปราการ
สมุทรปราการ,โรงเรียนอาษาวิทยา
สมุทรปราการ,โรงเรียนอำนวยวิทย์
สมุทรปราการ,โรงเรียนอุ่นอารีวิทยา
สมุทรปราการ,โรงเรียนอู่ทิพย์
สมุทรปราการ,โรงเรียนนวมินทราชินูทิศ สวนกุหลาบวิทยาลัย สมุทรปราการ
สมุทรปราการ,โรงเรียนบางเมืองเขียนผ่องอนุสรณ์
สมุทรปราการ,โรงเรียนมัธยมวัดด่านสำโรง
สมุทรปราการ,โรงเรียนสตรีสมุทรปราการ
สมุทรปราการ,โรงเรียนสมุทรปราการ
สมุทรปราการ,โรงเรียนบางหัวเสือบุญแจ่มเนียมนิล
สมุทรปราการ,โรงเรียนราชประชาสมาสัย ฝ่ายมัธยม รัชดาภิเษก ในพระบรมราชูปถัมภ์
สมุทรปราการ,โรงเรียนวัดทรงธรรม
สมุทรปราการ,โรงเรียนวิสุทธิกษัตรี
สมุทรปราการ,โรงเรียนป้อมนาคราชสวาทยานนท์
สมุทรปราการ,โรงเรียนมัธยมวัดใหม่สมุทรกิจวิทยาคม
สมุทรปราการ,โรงเรียนสาขลาสุทธีราอุปถัมภ์
สมุทรปราการ,โรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาพัฒนาการ
สมุทรปราการ,โรงเรียนบางบ่อวิทยาคม
สมุทรปราการ,โรงเรียนเปร็งวิสุทธาธิบดี
สมุทรปราการ,โรงเรียนหลวงพ่อปานคลองด่านอนุสรณ์
สมุทรปราการ,โรงเรียนบางแก้วประชาสรรค์
สมุทรปราการ,โรงเรียนบางพลีราษฎร์บำรุง
สมุทรปราการ,โรงเรียนพูลเจริญวิทยาคม
สมุทรปราการ,โรงเรียนราชวินิตบางแก้ว
สมุทรปราการ,โรงเรียนสมุทรพิทยาคม
สมุทรปราการ,โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) สมุทรปราการ
สมุทรปราการ,โรงเรียนเทศบาล 1 (เยี่ยมเกษสุวรรณ)
สมุทรปราการ,โรงเรียนหาดอมราอักษรลักษณ์วิทยา
สมุทรปราการ,โรงเรียนมหาภาพกระจาดทองอุปถัมภ์
สมุทรปราการ,โรงเรียนมัธยมแพรกษาวิเทศศึกษา
สมุทรปราการ,โรงเรียนปทุมคงคา สมุทรปราการ
สมุทรปราการ,โรงเรียนราชวินิตสุวรรณภูมิ
